sentence_1;sentence_2;similarity_score
Safety, security, protection and signalling devices;Musical accessories;0.0
Safety, security, protection and signalling devices;Musical instruments;0.0
Safety, security, protection and signalling devices;Nuclear installations;0.0
Safety, security, protection and signalling devices;Orthopedic and mobility aids;0.0
Safety, security, protection and signalling devices;Paper and cardboard;0.0
Safety, security, protection and signalling devices;Personal heating and drying implements;0.0
Safety, security, protection and signalling devices;Physical therapy equipment;0.0
Safety, security, protection and signalling devices;Printed matter;0.0
Safety, security, protection and signalling devices;Prosthetics and artificial implants;0.0
Safety, security, protection and signalling devices;Refrigerating and freezing equipment;0.0
Safety, security, protection and signalling devices;Regulating and safety accessories for water and gas installations;0.0
Safety, security, protection and signalling devices;Sanitary installations, water supply and sanitation equipment;0.0
Safety, security, protection and signalling devices;Science and technology services;0.0
Safety, security, protection and signalling devices;Sex aids;0.0
Safety, security, protection and signalling devices;Software engineering;0.0
Safety, security, protection and signalling devices;Stationery and educational supplies;0.0
Safety, security, protection and signalling devices;Sun tanning appliances;0.0
Safety, security, protection and signalling devices;Telecommunication services;0.0
Safety, security, protection and signalling devices;Testing, authentication and quality control;0.0
Safety, security, protection and signalling devices;Works of art and figurines of paper and cardboard, and architects' models;0.0
Sago;Chai tea;0.0
Sago;Cheeseburgers [sandwiches];0.0
Sago;Cocoa;0.0
Sago;Coffee;0.0
Sago;Custard;0.0
Sago;Dairy products and dairy substitutes;0.0
Sago;Edible oils and fats;0.0
Sago;Eggs;0.0
Sago;Fruit, fresh;0.0
Sago;Gelatine;0.0
Sago;Glucose for culinary purposes;0.0
Sago;Lecithin for culinary purposes;0.0
Sago;Milk;0.0
Sago;Milk products;0.0
Sago;Noodle-based prepared meals;0.0
Sago;Oils for food;0.0
Sago;Pollen prepared as foodstuff;0.0
Sago;Propolis;0.0
Sago;Restaurant services;0.0
Sago;Rice;0.0
Sago;Rice-based snack food;0.0
Sago;Royal jelly;0.0
Sago;Sandwiches;0.0
Sago;Spring rolls;0.0
Sago;Sugar;0.0
Sago;Tea;0.0
Sago;Vegetables, fresh;0.0
Sailboats;Sailboards;0.0
Sails;Animal skins;0.0
Sails;Asbestos;0.0
Sails;Bed covers;0.0
Sails;Bed throws;0.0
Sails;Braces, not of metal, for handling loads;0.0
Sails;Clothing;0.0
Sails;Coverings of skins [furs];0.0
Sails;Flexible hoses, not of metal;0.0
Sails;Footwear;0.0
Sails;Gutta-percha;0.0
Sails;Hammocks;0.0
Sails;Harness for animals;0.0
Sails;Headgear;0.0
Sails;Imitation leather;0.0
Sails;Ladder tapes for venetian blinds;0.0
Sails;Latex [rubber];0.0
Sails;Leather for shoes;0.0
Sails;Nets;0.0
Sails;Plastic substances, semi-processed;0.0
Sails;Saddlery;0.0
Sails;Slings, not of metal, for handling loads;0.0
Sails;Straps of leather [saddlery];0.0
Sails;Straps, not of metal, for handling loads;0.0
Sails;Strips for tying-up vines;0.0
Sails;Table covers;0.0
Sails;Tarpaulins;0.0
Sails;Tents;0.0
Sails;Tents for camping;0.0
Sails;Textile goods, and substitutes for textile goods;0.0
Sails;Textile goods, not included in other classes;0.0
Sails;Textiles and substitutes for textiles;0.0
Sails;Textiles, not included in other classes;0.0
Sails;Trunks [luggage];0.0
Sails;Walking sticks;0.0
Sails;Whips;0.0
Sails;Wrapping or binding bands, not of metal;0.0
Sails;Yarns and threads;0.0
Sails;Yarns and threads for textile use;0.0
Sales promotion for others;Cigarettes;0.0
Sales promotion for others;Roll-your-own tobacco;0.0
Salt;Artificial coffee;0.0
Salt;Baking powder;0.0
Salt;Biscotti;0.0
Salt;Biscuits;0.0
Salt;Bread;0.0
Salt;Buns;0.0
Salt;Cake batter;0.0
Salt;Cakes;0.0
Salt;Chai tea;0.0
Salt;Cheeseburgers [sandwiches];0.0
Salt;Cocoa;0.0
Salt;Coffee;0.0
Salt;Cream puffs;0.0
Salt;Custard;0.0
Salt;Edible fats;0.0
Salt;Eggs;0.0
Salt;Fruit, fresh;0.0
Salt;Glucose for culinary purposes;0.0
Salt;Golden syrup;0.0
Salt;Honey;0.0
Salt;Ice for refreshment;0.0
Salt;Lecithin for culinary purposes;0.0
Salt;Malt biscuits;0.0
Salt;Milk;0.0
Salt;Milk products;0.0
Salt;Molasses for food;0.0
Salt;Noodle-based prepared meals;0.0
Salt;Oils for food;0.0
Salt;Pastries;0.0
Salt;Pastry;0.0
Salt;Pollen prepared as foodstuff;0.0
Salt;Propolis;0.0
Salt;Restaurant services;0.0
Salt;Rice;0.0
Salt;Rice-based snack food;0.0
Salt;Royal jelly;0.0
Salts, seasonings, flavourings and condiments;Agricultural and aquacultural crops, horticulture and forestry products;0.0
Salts, seasonings, flavourings and condiments;Bedding and litter for animals;0.0
Salts, seasonings, flavourings and condiments;Beer and brewery products;0.0
Salts, seasonings, flavourings and condiments;Foodstuffs and fodder for animals;0.0
Salts, seasonings, flavourings and condiments;Live animals, organisms for breeding;0.0
Salts, seasonings, flavourings and condiments;Non-alcoholic beverages;0.0
Salt;Sago;0.0
Salt;Sandwiches;0.0
Salt;Sponge cakes;0.0
Salt;Spring rolls;0.0
Salt;Sugar;0.0
Salt;Syrups and treacles;0.0
Salt;Tapioca;0.0
Salt;Tea;0.0
Salt;Treacle;0.0
Salt;Vegetables, fresh;0.0
Salt;Yeast;0.0
Sanatorium services;Pharmaceuticals;0.0
Sanatorium services;Sanitary preparations for medical purposes;0.0
Sanatorium services;Veterinary preparations;0.0
Sandcloth;Bleaching preparations;0.0
Sandcloth;Cakes of toilet soap;0.0
Sandcloth;Cosmetics;0.0
Sandcloth;Dentifrices;0.0
Sandcloth;Ethereal oils;0.0
Sandcloth;Hair lotions;0.0
Sandcloth;Perfumes;0.0
Sandcloth;Soap;0.0
Sandcloth;Toilet soap;0.0
Sandcloth;Toiletries;0.0
Sanded paper [litter] for pets;Flowers;0.0
Sanded paper [litter] for pets;Fodder;0.0
Sanded paper [litter] for pets;Fruit, fresh;0.0
Sanded paper [litter] for pets;Germ grains;0.0
Sanded paper [litter] for pets;Grains [cereals];0.0
Sanded paper [litter] for pets;Horticultural products not included in other classes;0.0
Sanded paper [litter] for pets;Live animals;0.0
Sanded paper [litter] for pets;Malt;0.0
Sanded paper [litter] for pets;Natural plants;0.0
Sanded paper [litter] for pets;Seeds for planting;0.0
Sanded paper [litter] for pets;Trees and forestry products;0.0
Sanded paper [litter] for pets;Vegetables, fresh;0.0
Sanded paper for pets [litter];Flowers;0.0
Sanded paper for pets [litter];Foodstuffs and fodder for animals;0.0
Sanded paper for pets [litter];Fruit, fresh;0.0
Sanded paper for pets [litter];Germ grains;0.0
Sanded paper for pets [litter];Horticultural products not included in other classes;0.0
Sanded paper for pets [litter];Live animals;0.0
Sanded paper for pets [litter];Malt;0.0
Sanded paper for pets [litter];Natural plants;0.0
Sanded paper for pets [litter];Plant seeds;0.0
Sanded paper for pets [litter];Trees and forestry products;0.0
Sanded paper for pets [litter];Vegetables, fresh;0.0
Sandpaper;Cakes of toilet soap;0.0
Sandpaper;Dentifrices;0.0
Sandpaper;Ethereal oils;0.0
Sandpaper;Hair lotions;0.0
Sandpaper;Perfumes;0.0
Sandpaper;Toiletries;0.0
Sandwiches;Compotes;0.0
Sandwiches;Edible ices;0.0
Sandwiches;Eggs;0.0
Sandwiches;Fruit, fresh;0.0
Sandwiches;Ice for refreshment;0.0
Sandwiches;Vegetables, fresh;0.0
Sanitary and bathroom installations and plumbing fixtures;Air fragrancing apparatus;0.0
Sanitary and bathroom installations and plumbing fixtures;Aquaria and vivaria;0.0
Sanitary and bathroom installations and plumbing fixtures;Dental cleaning articles;0.0
Sanitary and bathroom installations and plumbing fixtures;Devices for pest and vermin control;0.0
Sanitary and bathroom installations and plumbing fixtures;Dustbins;0.0
Sanitary and bathroom installations and plumbing fixtures;Glasses, drinking vessels and barware;0.0
Sanitary and bathroom installations and plumbing fixtures;Pipes and tubes, and fittings therefor, including valves, non-metallic;0.0
Sanitary and bathroom installations and plumbing fixtures;Pitch, tar, bitumen and asphalt;0.0
Sanitary and bathroom installations and plumbing fixtures;Railway materials, non-metallic;0.0
Sanitary and bathroom installations and plumbing fixtures;Scaffolding, non-metallic;0.0
Sanitary and bathroom installations and plumbing fixtures;Signs, and information and advertising displays, non-metallic;0.0
Sanitary and bathroom installations and plumbing fixtures;Stone, rock, clay and minerals;0.0
Sanitary and bathroom installations and plumbing fixtures;Wood and artificial wood;0.0
Sanitary apparatus and installations;Acetylene generators;0.0
Sanitary apparatus and installations;Bitumen;0.0
Sanitary apparatus and installations;Building panels, not of metal;0.0
Sanitary apparatus and installations;Buildings, transportable, not of metal;0.0
Sanitary apparatus and installations;Chromatography apparatus for industrial purposes;0.0
Sanitary apparatus and installations;Flare stacks for use in the oil industry;0.0
Sanitary apparatus and installations;Floors, not of metal;0.0
Sanitary apparatus and installations;Friction lighters for igniting gas;0.0
Sanitary apparatus and installations;Fuel economisers;0.0
Sanitary apparatus and installations;Gas cleaners and purifiers;0.0
Sanitary apparatus and installations;Gas condensers, other than parts of machines;0.0
Sanitary apparatus and installations;Gas heat generators;0.0
Sanitary apparatus and installations;Gas lighters;0.0
Sanitary apparatus and installations;Gas scrubbers [parts of gas installations];0.0
Sanitary apparatus and installations;Igniters;0.0
Sanitary apparatus and installations;Installations for processing nuclear fuel and nuclear moderating material;0.0
Sanitary apparatus and installations;Level controlling valves in tanks;0.0
Sanitary apparatus and installations;Monuments, not of metal;0.0
Sanitary apparatus and installations;Nuclear reactors;0.0
Sanitary apparatus and installations;Oil-scrubbing apparatus;0.0
Sanitary apparatus and installations;Pitch and bitumen;0.0
Sanitary apparatus and installations;Polymerisation installations;0.0
Sanitary apparatus and installations;Refining towers for distillation;0.0
Sanitary apparatus and installations;Regulating and safety accessories for gas apparatus;0.0
Sanitary apparatus and installations;Regulating and safety accessories for gas pipes;0.0
Sanitary apparatus and installations;Tanning apparatus [sun beds];0.0
Sanitary apparatus and installations;Windows, not of metal;0.0
Sanitary installations, water supply and sanitation equipment;Articles for animals;0.0
Sanitary installations, water supply and sanitation equipment;Brushes and brush-making articles;0.0
Sanitary installations, water supply and sanitation equipment;Cleaning articles;0.0
Sanitary installations, water supply and sanitation equipment;Cosmetic and toilet utensils;0.0
Sanitary installations, water supply and sanitation equipment;Doors, gates, windows and window coverings, not of metal;0.0
Sanitary installations, water supply and sanitation equipment;Gardening articles;0.0
Sanitary installations, water supply and sanitation equipment;Statues and works of art made of materials such as stone, concrete and marble, included in the class;0.0
Sanitary installations, water supply and sanitation equipment;Statues, figurines, plaques and works of art, made of materials such as porcelain, terra-cotta or glass, included in the class;0.0
Sanitary installations, water supply and sanitation equipment;Structures and transportable buildings, not of metal;0.0
Sanitary installations, water supply and sanitation equipment;Tableware, cookware and containers;0.0
Sanitary installations, water supply and sanitation equipment;Unprocessed and semi-processed materials included in the class, not specified for use;0.0
Sanitary installations, water supply and sanitation equipment;Unworked and semi-worked glass, not specified for use;0.0
Sanitary installations;Bitumen;0.0
Sanitary installations;Building panels, not of metal;0.0
Sanitary installations;Buildings, transportable, not of metal;0.0
Sanitary installations;Floors, not of metal;0.0
Sanitary installations;Monuments, not of metal;0.0
Sanitary installations;Pitch and bitumen;0.0
Sanitary preparations for medical purposes;Agriculture services;0.0
Sanitary preparations for medical purposes;Animal healthcare services;0.0
Sanitary preparations for medical purposes;Artificial eyes;0.0
Sanitary preparations for medical purposes;Artificial limbs;0.0
Sanitary preparations for medical purposes;Artificial teeth;0.0
Sanitary preparations for medical purposes;Blood for medical purposes;0.0
Sanitary preparations for medical purposes;Blood plasma;0.0
Sanitary preparations for medical purposes;Forestry services;0.0
Sanitary preparations for medical purposes;Gardening;0.0
Sanitary preparations for medical purposes;Health centre services;0.0
Sanitary preparations for medical purposes;Horticulture;0.0
Sanitary preparations for medical purposes;Hospital services;0.0
Sanitary preparations for medical purposes;Human hygiene and beauty care;0.0
Sanitary preparations for medical purposes;Hygienic and beauty care for animals;0.0
Sanitary preparations for medical purposes;Hygienic care for animals;0.0
Sanitary preparations for medical purposes;Medical services;0.0
Sanitary preparations for medical purposes;Nursing care;0.0
Sanitary preparations for medical purposes;Nursing, medical;0.0
Sanitary preparations for medical purposes;Opticians' services;0.0
Sanitary preparations for medical purposes;Orthopedic articles;0.0
Sanitary preparations for medical purposes;Pharmaceutical advice;0.0
Sanitary preparations for medical purposes;Physician services;0.0
Sanitary preparations for medical purposes;Sanatorium services;0.0
Sanitary preparations for medical purposes;Scientific services and design relating thereto;0.0
Sanitary preparations for medical purposes;Semen for artificial insemination;0.0
Sanitary preparations for medical purposes;Surgical apparatus and instruments;0.0
Sanitary preparations for medical purposes;Surgical implants comprised of living tissues;0.0
Sanitary preparations for medical purposes;Suture materials;0.0
Sanitary preparations for medical purposes;Veterinary apparatus and instruments;0.0
Sanitary preparations for medical purposes;Veterinary assistance;0.0
Sanitizers for household use;Herbicides;0.0
Sauces [condiments];Artificial coffee;0.0
Sauces [condiments];Baking powder;0.0
Sauces [condiments];Biscotti;0.0
Sauces [condiments];Biscuits;0.0
Sauces [condiments];Bread;0.0
Sauces [condiments];Cake batter;0.0
Sauces [condiments];Cakes;0.0
Sauces [condiments];Cheeseburgers [sandwiches];0.0
Sauces [condiments];Cocoa;0.0
Sauces [condiments];Coffee;0.0
Sauces [condiments];Cream puffs;0.0
Sauces [condiments];Custard;0.0
Sauces [condiments];Eggs;0.0
Sauces [condiments];Fruit, fresh;0.0
Sauces [condiments];Glucose for culinary purposes;0.0
Sauces [condiments];Golden syrup;0.0
Sauces [condiments];Honey;0.0
Sauces [condiments];Ice for refreshment;0.0
Sauces [condiments];Lecithin for culinary purposes;0.0
Sauces [condiments];Malt biscuits;0.0
Sauces [condiments];Milk;0.0
Sauces [condiments];Milk products;0.0
Sauces [condiments];Molasses for food;0.0
Sauces [condiments];Noodle-based prepared meals;0.0
Sauces [condiments];Pastries;0.0
Sauces [condiments];Pastry;0.0
Sauces [condiments];Pollen prepared as foodstuff;0.0
Sauces [condiments];Propolis;0.0
Sauces [condiments];Restaurant services;0.0
Sauces [condiments];Rice;0.0
Sauces [condiments];Rice-based snack food;0.0
Sauces [condiments];Royal jelly;0.0
Sauces [condiments];Sago;0.0
Sauces [condiments];Sandwiches;0.0
Sauces [condiments];Sponge cakes;0.0
Sauces [condiments];Spring rolls;0.0
Sauces [condiments];Sugar;0.0
Sauces [condiments];Syrups and treacles;0.0
Sauces [condiments];Tapioca;0.0
Sauces [condiments];Tea;0.0
Sauces [condiments];Treacle;0.0
Sauces [condiments];Vegetables, fresh;0.0
Sauces [condiments];Yeast;0.0
Sauna services;Cosmetics;0.0
Sauna services;Ethereal oils;0.0
Sauna services;Hair lotions;0.0
Sauna services;Perfumery;0.0
Sausage binding materials;Artificial coffee;0.0
Sausage binding materials;Baking powder;0.0
Sausage binding materials;Bread;0.0
Sausage binding materials;Cocoa;0.0
Sausage binding materials;Coffee;0.0
Sausage binding materials;Compotes;0.0
Sausage binding materials;Cooked fruits;0.0
Sausage binding materials;Dried fruit;0.0
Sausage binding materials;Edible fats;0.0
Sausage binding materials;Edible ices;0.0
Sausage binding materials;Eggs;0.0
Sausage binding materials;Fish, not live;0.0
Sausage binding materials;Flour;0.0
Sausage binding materials;Frozen fruits;0.0
Sausage binding materials;Frozen vegetables;0.0
Sausage binding materials;Fruit, preserved;0.0
Sausage binding materials;Game, not live;0.0
Sausage binding materials;Golden syrup;0.0
Sausage binding materials;Honey;0.0
Sausage binding materials;Ice for refreshment;0.0
Sausage binding materials;Jams;0.0
Sausage binding materials;Jellies for food;0.0
Sausage binding materials;Malt biscuits;0.0
Sausage binding materials;Meat;0.0
Sausage binding materials;Meat extracts;0.0
Sausage binding materials;Meats;0.0
Sausage binding materials;Milk;0.0
Sausage binding materials;Milk products;0.0
Sausage binding materials;Molasses for food;0.0
Sausage binding materials;Mustard;0.0
Sausage binding materials;Oils for food;0.0
Sausage binding materials;Poultry;0.0
Sausage binding materials;Preparations made from cereals;0.0
Sausage binding materials;Preserved vegetables;0.0
Sausage binding materials;Rice;0.0
Sausage binding materials;Sago;0.0
Sausage binding materials;Salt;0.0
Sausage binding materials;Sauces [condiments];0.0
Sausage binding materials;Seasonings;0.0
Sausage binding materials;Spices;0.0
Sausage binding materials;Sugar;0.0
Sausage binding materials;Sweetmeats [candy];0.0
Sausage binding materials;Syrups and treacles;0.0
Sausage binding materials;Tapioca;0.0
Sausage binding materials;Tea;0.0
Sausage binding materials;Vegetables, cooked;0.0
Sausage binding materials;Vegetables, dried;0.0
Sausage binding materials;Vinegar;0.0
Sausage binding materials;Yeast;0.0
Sausages;Jellies for food;0.0
Sausages;Meat extracts;0.0
Sausages;Seasonings;0.0
Sausages;Spices;0.0
Savings bank services;Real estate affairs;0.0
Savory sauces, chutneys and pastes;Flavoured carbonated beverages;0.0
Savory sauces, chutneys and pastes;Fungi;0.0
Savory sauces, chutneys and pastes;Juices;0.0
Savory sauces, chutneys and pastes;Non-dairy milk;0.0
Savory sauces, chutneys and pastes;Plants;0.0
Savory sauces, chutneys and pastes;Waters;0.0
Saw benches [parts of machines];Machine couplings and transmissions, except for land vehicles;0.0
Saw blades [parts of machines];Machine couplings and transmissions, except for land vehicles;0.0
Scale collectors for machine boilers;Machine couplings and transmissions, except for land vehicles;0.0
Scale model kits [toys];Decorations for Christmas trees;0.0
Scale model kits [toys];Entertainment services;0.0
Scale model kits [toys];Sporting and cultural activities;0.0
Scale model kits [toys];Sporting articles and equipment;0.0
Scale model vehicles;Decorations for Christmas trees;0.0
Scale model vehicles;Distribution services;0.0
Scale model vehicles;Packaging and storage of goods;0.0
Scale model vehicles;Transport services;0.0
Scarves;Parasols;0.0
Scarves;Printing type;0.0
Scarves;Typewriters, electric or non-electric;0.0
Scarves;Umbrellas;0.0
Scarves;Walking sticks;0.0
Scented water;Adhesive plasters;0.0
Scented water;Animal skins;0.0
Scented water;Apparatus for the treatment of deafness;0.0
Scented water;Attaché cases;0.0
Scented water;Boxes of paper or cardboard;0.0
Scented water;Cardboard;0.0
Scented water;Catalogues;0.0
Scented water;Coats;0.0
Scented water;Comic books;0.0
Scented water;Condoms;0.0
Scented water;Corsets for medical purposes;0.0
Scented water;Covers [stationery];0.0
Scented water;Creams for leather;0.0
Scented water;Date stamps;0.0
Scented water;Dental impression materials;0.0
Scented water;Dentifrices;0.0
Scented water;Dictionaries;0.0
Scented water;Dietetic substances adapted for medical use;0.0
Scented water;Disinfectants;0.0
Scented water;Dressing gowns;0.0
Scented water;Dressings, medical;0.0
Scented water;Edible oils and fats;0.0
Scented water;Feeding bottle teats;0.0
Scented water;Food for babies;0.0
Scented water;Fungicides;0.0
Scented water;Gloves [clothing];0.0
Scented water;Hair lotions;0.0
Scented water;Harness for animals;0.0
Scented water;Headgear;0.0
Scented water;Herbicides;0.0
Scented water;Journals;0.0
Scented water;Magazines [periodicals];0.0
Scented water;Massage apparatus;0.0
Scented water;Maternity belts;0.0
Scented water;Newspapers;0.0
Scented water;Overcoats;0.0
Scented water;Pamphlets;0.0
Scented water;Paper;0.0
Scented water;Parasols;0.0
Scented water;Periodicals;0.0
Scented water;Pharmaceutical preparations;0.0
Scented water;Photographs;0.0
Scented water;Pins for artificial teeth;0.0
Scented water;Postage stamps;0.0
Scented water;Posters;0.0
Scented water;Pyjamas;0.0
Scented water;Saddlery;0.0
Scented water;Sanitary preparations for medical purposes;0.0
Scented water;School bags;0.0
Scented water;Shirts;0.0
Scented water;Shorts;0.0
Scented water;Splints, surgical;0.0
Scented water;Sports jerseys;0.0
Scented water;Stockings;0.0
Scented water;Stockings for varices;0.0
Scented water;Suits;0.0
Scented water;Teaching materials [except apparatus];0.0
Scented water;Teeth filling material;0.0
Scented water;Teething rings;0.0
Scented water;Umbrellas;0.0
Scented water;Underwear;0.0
Scented water;Veterinary preparations;0.0
Scented water;Visiting cards;0.0
Scented water;Wallets;0.0
School bags;Fragrances;0.0
School bags;Perfumery;0.0
School bags;Perfumes;0.0
School bags;Walking sticks;0.0
School knapsacks;Perfumes;0.0
Science and technology services;Apparatus, instruments and cables for electricity;0.0
Science and technology services;Diving equipment;0.0
Science and technology services;Electronic transmission of images, photographs, graphic images and illustrations over a global computer network;0.0
Science and technology services;Extermination, disinfection and pest control;0.0
Science and technology services;Information technology and audiovisual equipment;0.0
Science and technology services;Legal services;0.0
Science and technology services;Magnets, magnetizers and demagnetizers;0.0
Science and technology services;Measuring, detecting and monitoring instruments, indicators and controllers;0.0
Science and technology services;Navigation, guidance, tracking, targeting and map making devices;0.0
Science and technology services;Optical devices, enhancers and correctors;0.0
Science and technology services;Personal and social services;0.0
Science and technology services;Pharmaceutical preparations;0.0
Science and technology services;Provision of internet access services;0.0
Science and technology services;Recorded content;0.0
Science and technology services;Rental of tools, plant and equipment for construction, demolition, cleaning and maintenance;0.0
Science and technology services;Safety, rescue, security and enforcement services;0.0
Science and technology services;Safety, security, protection and signalling devices;0.0
Science and technology services;Scientific and laboratory devices for treatment using electricity;0.0
Science and technology services;Scientific research and laboratory apparatus, educational apparatus and simulators;0.0
Science and technology services;Telecommunication services;0.0
Scientific and industrial research;Business management of hotels;0.0
Scientific and industrial research;Estate agency;0.0
Scientific and industrial research;Hotel management for others;0.0
Scientific and industrial research;Real estate affairs;0.0
Scientific and industrial research;Rental of apartments;0.0
Scientific and industrial research;Rental of real estate;0.0
Scientific and laboratory devices for treatment using electricity;Adhesives for stationery or household purposes;0.0
Scientific and laboratory devices for treatment using electricity;Bags and articles for packaging, wrapping and storage, of paper, cardboard or plastics;0.0
Scientific and laboratory devices for treatment using electricity;Burners, boilers and heaters;0.0
Scientific and laboratory devices for treatment using electricity;Clothing;0.0
Scientific and laboratory devices for treatment using electricity;Cooking, heating, cooling and preservation equipment, for food and beverages;0.0
Scientific and laboratory devices for treatment using electricity;Decoration and art materials and media;0.0
Scientific and laboratory devices for treatment using electricity;Design services;0.0
Scientific and laboratory devices for treatment using electricity;Drying installations;0.0
Scientific and laboratory devices for treatment using electricity;Fairground and playground apparatus;0.0
Scientific and laboratory devices for treatment using electricity;Feeding aids and pacifiers;0.0
Scientific and laboratory devices for treatment using electricity;Festive decorations and artificial Christmas trees;0.0
Scientific and laboratory devices for treatment using electricity;Filtering materials of paper;0.0
Scientific and laboratory devices for treatment using electricity;Filters for industrial and household use;0.0
Scientific and laboratory devices for treatment using electricity;Fireplaces;0.0
Scientific and laboratory devices for treatment using electricity;Flues and installations for conveying exhaust gases;0.0
Scientific and laboratory devices for treatment using electricity;Footwear;0.0
Scientific and laboratory devices for treatment using electricity;Headgear;0.0
Scientific and laboratory devices for treatment using electricity;Hearing protection devices;0.0
Scientific and laboratory devices for treatment using electricity;Heating, ventilating, and air conditioning and purification equipment (ambient);0.0
Scientific and laboratory devices for treatment using electricity;Igniters;0.0
Scientific and laboratory devices for treatment using electricity;Industrial treatment installations;0.0
Scientific and laboratory devices for treatment using electricity;IT services;0.0
Scientific and laboratory devices for treatment using electricity;Lighting and lighting reflectors;0.0
Scientific and laboratory devices for treatment using electricity;Medical and veterinary apparatus and instruments;0.0
Scientific and laboratory devices for treatment using electricity;Medical clothing;0.0
Scientific and laboratory devices for treatment using electricity;Medical furniture and bedding, equipment for moving patients;0.0
Scientific and laboratory devices for treatment using electricity;Money holders;0.0
Scientific and laboratory devices for treatment using electricity;Musical accessories;0.0
Scientific and laboratory devices for treatment using electricity;Musical instruments;0.0
Scientific and laboratory devices for treatment using electricity;Nuclear installations;0.0
Scientific and laboratory devices for treatment using electricity;Orthopedic and mobility aids;0.0
Scientific and laboratory devices for treatment using electricity;Paper and cardboard;0.0
Scientific and laboratory devices for treatment using electricity;Personal heating and drying implements;0.0
Scientific and laboratory devices for treatment using electricity;Physical therapy equipment;0.0
Scientific and laboratory devices for treatment using electricity;Printed matter;0.0
Scientific and laboratory devices for treatment using electricity;Prosthetics and artificial implants;0.0
Scientific and laboratory devices for treatment using electricity;Refrigerating and freezing equipment;0.0
Scientific and laboratory devices for treatment using electricity;Regulating and safety accessories for water and gas installations;0.0
Scientific and laboratory devices for treatment using electricity;Sanitary installations, water supply and sanitation equipment;0.0
Scientific and laboratory devices for treatment using electricity;Science and technology services;0.0
Scientific and laboratory devices for treatment using electricity;Sex aids;0.0
Scientific and laboratory devices for treatment using electricity;Sporting articles and equipment;0.0
Scientific and laboratory devices for treatment using electricity;Stationery and educational supplies;0.0
Scientific and laboratory devices for treatment using electricity;Sun tanning appliances;0.0
Scientific and laboratory devices for treatment using electricity;Telecommunication services;0.0
Scientific and laboratory devices for treatment using electricity;Testing, authentication and quality control;0.0
Scientific and laboratory devices for treatment using electricity;Vehicles and conveyances;0.0
Scientific and laboratory devices for treatment using electricity;Works of art and figurines of paper and cardboard, and architects' models;0.0
Scientific apparatus and instruments;Door closers, electric;0.0
Scientific apparatus and instruments;Door openers, electric;0.0
Scientific apparatus and instruments;Electric arc cutting apparatus;0.0
Scientific apparatus and instruments;Electrical apparatus for sealing plastics [packaging];0.0
Scientific apparatus and instruments;Elevator operating apparatus;0.0
Scientific apparatus and instruments;Industrial analysis and research services;0.0
Scientific apparatus and instruments;Magnets;0.0
Scientific apparatus and instruments;Research and development in the field of biotechnology;0.0
Scientific apparatus and instruments;Software engineering;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Adhesives for stationery or household purposes;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Bags and articles for packaging, wrapping and storage, of paper, cardboard or plastics;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Burners, boilers and heaters;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Clothing;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Cooking, heating, cooling and preservation equipment, for food and beverages;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Decoration and art materials and media;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Design services;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Drying installations;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Fairground and playground apparatus;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Feeding aids and pacifiers;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Festive decorations and artificial Christmas trees;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Filtering materials of paper;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Filters for industrial and household use;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Fireplaces;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Flues and installations for conveying exhaust gases;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Footwear;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Headgear;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Hearing protection devices;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Heating, ventilating, and air conditioning and purification equipment (ambient);0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Igniters;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Industrial treatment installations;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;IT services;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Lighting and lighting reflectors;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Medical and veterinary apparatus and instruments;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Medical clothing;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Medical furniture and bedding, equipment for moving patients;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Money holders;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Musical accessories;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Musical instruments;0.0
Scientific research and laboratory apparatus, educational apparatus and simulators;Nuclear installations;0.0
